prefix,k,support,dH,pred_next
15-15-14-15,4,77,0.408698,15
12-12-13-12,4,76,0.578431,12
13-13-2-2,4,76,0.492901,2
10-10-10-9,4,75,0.728254,10
9-9-15-7,4,75,0.469178,9
7-5-7-7,4,74,0.664322,7
12-13-12-12,4,72,0.627721,12
9-9-9-1,4,72,0.509388,9
13-13-11-9,4,72,0.488577,13
4-4-4-9,4,72,0.434204,4
15-15-4-15,4,71,0.556183,15
7-7-7-3,4,71,0.427330,7
15-15-3-15,4,69,0.656911,15
1-1-9-1,4,69,0.591683,1
7-0-7-7,4,69,0.585072,7
13-8-13-13,4,69,0.553052,13
15-15-15-4,4,69,0.440838,15
1-13-1-13,4,69,0.429787,13
10-9-10-10,4,68,0.521768,10
9-13-9-15,4,67,0.774252,9
6-13-13-6,4,67,0.437294,13
4-4-4-7,4,66,0.815161,4
3-13-3-3,4,66,0.763706,3
4-4-4-15,4,66,0.519170,4
15-15-10-15,4,66,0.503511,15
0-15-0-15,4,66,0.500591,0
1-9-1-1,4,66,0.486880,1
9-1-9-9,4,66,0.457607,9
13-13-13-8,4,66,0.451432,13
13-1-13-1,4,66,0.449519,1
2-5-2-2,4,66,0.446513,2
3-0-3-3,4,65,1.096354,3
10-10-9-10,4,65,0.642504,10
13-13-8-13,4,65,0.550588,13
13-15-9-13,4,64,0.519366,13
4-4-7-4,4,64,0.516540,4
13-9-13-11,4,64,0.506090,13
6-6-6-3,4,64,0.493861,6
10-10-10-15,4,64,0.445767,10
6-6-6-7,4,64,0.417269,6
5-15-5-5,4,63,0.835119,5
9-4-9-9,4,63,0.834527,9
13-9-13-15,4,63,0.610752,13
6-6-1-6,4,63,0.564463,6
